"";"Datum";"factorn";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"871";2013-09-30;0,00211267605633803;0;0;0;0;NA
"882";2013-12-31;0,00202702702702703;-1;-1;0;0;NA
"915";2014-09-30;0,0015625;-2;-2;-1;-2;NA
"921";2014-12-31;0,00189873417721519;-1;0;1;0;NA
"932";2015-03-31;0,00194805194805195;-2;-1;-2;-2;NA
"942";2015-06-30;0,00151515151515152;0;0;0;0;NA
"952";2015-09-30;0,00172413793103448;0;0;-1;0;NA
"961";2015-12-31;0,002;0;0;0;0;NA
"971";2016-03-31;0,00192307692307692;0;0;1;0;NA
"981";2016-06-30;0,00164835164835165;0;0;-1;0;NA
"1813";1996-06-30;0,00223880597014925;0;0;NA;NA;NA
"1910";1996-09-30;0,0027027027027027;0;-2;NA;NA;NA
"2410";1997-12-31;0,00352941176470588;0;0;NA;NA;NA
