Streek;Idnr;Sektor;Gewig;Faktor;OpnameQ;Q1;Q2A;Q2P;Q3A;Q3P;Q4A;Q4P;Q5A;Q5P;Q6A;Q6P;Q7A;Q7P;Q8;Q9;Latecomer;NewRecruit;WrongClassif;Duplicate
01;14712;2110;7;32.09999847;14Q4;1;1;2;1;2;1;2;3;2;2;1;2;1;2;2;FALSE;FALSE;FALSE;FALSE
01;13015;2220;9;87.5;14Q4;1;2;1;2;1;2;1;2;1;3;2;2;2;3;2;FALSE;FALSE;FALSE;FALSE
05;33499;2230;3;0.875;14Q4;2;3;3;3;3;3;3;3;3;2;2;2;2;3;2;FALSE;FALSE;FALSE;FALSE
01;14264;2220;3;0.875;14Q4;1;2;;2;2;2;2;3;3;1;1;1;1;3;2;FALSE;FALSE;FALSE;FALSE
06;36399;2240;8;37.5;14Q4;2;3;3;3;3;3;3;2;2;2;2;2;2;3;2;FALSE;FALSE;FALSE;FALSE
01;37214;2220;9;87.5;14Q4;1;2;2;1;2;1;2;2;2;1;2;1;2;2;1;FALSE;FALSE;FALSE;FALSE
01;13034;2120;3;1.001000047;14Q4;1;1;2;1;2;1;2;2;2;1;1;2;1;1;2;FALSE;FALSE;FALSE;FALSE
03;13975;2220;8;37.5;14Q4;2;3;2;3;3;2;2;2;2;1;1;1;1;3;2;FALSE;FALSE;FALSE;FALSE
01;13817;2240;5;3.75;14Q4;1;1;1;1;1;1;1;1;2;2;1;2;1;1;2;FALSE;FALSE;FALSE;FALSE
01;13738;2120;3;1.001000047;14Q4;1;2;1;3;1;1;1;1;1;3;3;3;3;3;2;FALSE;FALSE;FALSE;FALSE
01;96643;2240;2;0.375;14Q4;1;2;2;2;2;2;2;2;2;1;1;2;2;3;2;FALSE;FALSE;FALSE;FALSE
