"";"Datum";"factor";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"82106";2012-06-30;2;-1;-1;-1;-1;NA
"83123";2012-09-30;2;0;0;0;0;NA
"8486";2012-12-31;2;2;1;1;1;NA
"8959";2014-03-31;2;0;0;0;-1;NA
"9282";2014-12-31;2;NA;0;0;0;NA
"6508";1993-06-30;1;-1;-1;NA;NA;NA
"9283";1994-03-31;1;0;0;NA;NA;NA
"10147";1994-06-30;1;0;1;NA;NA;NA
"11131";1994-09-30;1;1;0;NA;NA;NA
"12128";1994-12-31;1;-1;-1;NA;NA;NA
"13151";1995-03-31;1;-1;0;NA;NA;NA
"14114";1995-06-30;1;-1;-1;NA;NA;NA
"17117";1996-03-31;1;0;NA;NA;NA;NA
"20124";1996-12-31;1;1;2;NA;NA;NA
"21117";1997-03-31;1;-1;1;NA;NA;NA
"22109";1997-06-30;1;-1;0;NA;NA;NA
"2899";1998-12-31;1;0;0;NA;NA;NA
"2999";1999-03-31;1;0;-1;NA;NA;NA
"6509";1993-06-30;1;1;1;NA;NA;NA
"13152";1995-03-31;1;0;NA;NA;NA;NA
"14115";1995-06-30;1;0;NA;NA;NA;NA
"3764";2001-03-31;1;0;NA;NA;NA;NA
"4381";2002-09-30;1;-1;-1;0;0;NA
"6600";1993-06-30;1;-2;0;NA;NA;NA
"14116";1995-06-30;1;-1;-2;NA;NA;NA
"15104";1995-09-30;1;-1;-1;NA;NA;NA
"16114";1995-12-31;1;1;1;NA;NA;NA
"17118";1996-03-31;1;1;1;NA;NA;NA
"23119";1997-09-30;1;2;1;NA;NA;NA
"24119";1997-12-31;1;1;1;NA;NA;NA
"28100";1998-12-31;1;-1;-1;NA;NA;NA
"29100";1999-03-31;1;0;-1;NA;NA;NA
"3064";1999-06-30;1;-1;0;NA;NA;NA
"3157";1999-09-30;8;NA;0;NA;NA;NA
"6601";1993-06-30;1;2;NA;NA;NA;NA
"4273";2002-06-30;1;-1;-1;0;-1;NA
"4382";2002-09-30;1;-1;-1;0;0;NA
"4478";2002-12-31;1;NA;-1;-1;-1;NA
"4568";2003-03-31;1;1;1;1;0;NA
"4687";2003-06-30;1;0;0;0;0;NA
"5174";2004-09-30;1;0;0;0;0;NA
"5285";2004-12-31;1;0;0;1;0;NA
"5382";2005-03-31;1;-1;0;0;0;NA
"5466";2005-06-30;1;-1;-1;-1;-2;NA
"5755";2006-03-31;1;0;0;-1;-1;NA
"58102";2006-06-30;1;-1;-1;0;-1;NA
"61166";2007-03-31;1;0;1;0;0;NA
"62112";2007-06-30;1;NA;-1;0;-1;NA
"63107";2007-09-30;1;NA;-1;0;-1;NA
"64102";2007-12-31;1;NA;0;1;0;NA
"65108";2008-03-31;1;2;1;0;0;NA
