"";"Datum";"factor";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"7112";2009-09-30;0,4;NA;-1;0;-1;NA
"7213";2009-12-31;0,4;NA;0;-1;0;NA
"7315";2010-03-31;0,4;NA;-1;1;-1;NA
"7412";2010-06-30;0,4;NA;-1;0;0;NA
"7512";2010-09-30;0,4;NA;0;-1;0;NA
"7611";2010-12-31;0,4;NA;0;-1;0;NA
"7712";2011-03-31;0,4;NA;0;-1;0;NA
"7810";2011-06-30;0,4;NA;0;0;0;NA
"7912";2011-09-30;0,4;NA;0;0;0;NA
"8012";2011-12-31;0,4;NA;-1;-1;0;NA
"8314";2012-09-30;0,4;NA;-1;-1;0;NA
"8411";2012-12-31;0,4;NA;-1;-1;-1;NA
"8510";2013-03-31;0,4;NA;0;0;0;NA
"8813";2013-12-31;0,4;NA;0;-1;0;NA
"945";2015-06-30;0,5;0;0;1;0;NA
"578";2006-03-31;0,5;NA;-1;0;-1;NA
"588";2006-06-30;0,5;NA;0;0;0;NA
"616";2007-03-31;0,5;NA;0;0;0;NA
"625";2007-06-30;0,5;NA;-1;0;0;NA
"637";2007-09-30;0,5;NA;1;0;1;NA
"6613";2008-06-30;0,5;NA;-1;0;0;NA
"6911";2009-03-31;0,5;NA;0;0;0;NA
"7015";2009-06-30;0,5;NA;-1;0;0;NA
"7113";2009-09-30;0,5;NA;0;0;0;NA
"7214";2009-12-31;0,5;NA;-1;0;0;NA
"7316";2010-03-31;0,5;NA;0;0;-1;NA
"7413";2010-06-30;0,5;NA;0;0;0;NA
"7513";2010-09-30;0,5;NA;0;0;0;NA
"7612";2010-12-31;0,5;NA;0;0;0;NA
"7811";2011-06-30;0,5;NA;0;0;0;NA
"7913";2011-09-30;0,5;NA;0;0;0;NA
"8013";2011-12-31;0,5;NA;0;0;0;NA
"8112";2012-03-31;0,5;NA;0;0;0;NA
"8210";2012-06-30;0,5;NA;0;0;0;NA
"8315";2012-09-30;0,5;NA;0;0;0;NA
"8412";2012-12-31;0,5;NA;0;0;0;NA
"878";2013-09-30;0,5;NA;0;0;0;NA
"8814";2013-12-31;0,5;NA;0;0;0;NA
"918";2014-09-30;0,5;NA;1;0;0;NA
